Time,ad27da605753cdce0a3e,0b383e35eb06428b4b89,b6edb95a5193abed5c8a,70bfa7a0579c80fffc22,5058a5b70ffbac65a5b3,85c9b6d2899a08f0813e,15e8427aa5c186e88567,06ea997ec0472ab88371,34427289f85b9224094d,513a17bd8cb2c5c5f435,7c3168f1a7ad0187d3d3,534724b58ce37c733d7c,6d10a98faac0e01a0856,d2c5d53298b2dc5197bf,dc23d3a5c0a2514fd312,48e782baf3ae617190cb,4a05e0d66097de0d1a9d,e3b417a9d239bce404f7,3a71c0da1744e48e9bca,b77788837be5058166cc,05ff8224a2301f8d9326,c3b60b5829b73f1a4f41,c1ce9bd7555b918aa3a3,aca1b89d898b76c77635,b066bd0a7523c2a06570,60aabea7756da418a5e0,03a49a65008f82d2a509,5d96212d265bf1437254,81ceaf8d0abc426d29d7,5d4f93464eb6506bead6,fee977f4acbf1a4b3472,a93f37e57a388bed5dbd,5a62d9aff7d83af55099,628a2aeb3cb9eef91093,056eb9a757e2a2147edf,099931322afa73ce414e,34c623399298d54453ce,a75f816a9ad2b75466b6,39196afdb5f28bf3ba0f,cf3a64f7248bce76ce53,c1675e6dc6fd497e714a,62fbc0b6bdc5e7094abf,cb48fdcd741126d09def,298398ca2c750beb392c,c6efb11c145e4e0e8577,940c61f07134bb62dd3b,ff8e77d1e5d8844b4236,cb607d647bc20c7db809,38e31027529f92233b27,9ed36b5fc2913110e940,8ae0970afe188a1124d1,f6a73f8f38d043b3b3bc,403baeb4205b185ef638,967ed54c0520beb3f775,68cdcec7b8d56a5b440f,412cd57f0cf5aa5ac5ae,26279a79319992ac123d,bfba81f1d3e2d7690c58,b2ba207c923efb490f36,3dc064bb52e2de86727f,96697bd372cd45508ff1,4182fcd9b5da748ef77e,3def0ad104d2f2efed8a,b5123d35935948ed66d7,4342676a1d453733d514,8c4bf743fc1319762607,51194d8232d0ceb68d6b,1b2b0a9900602ac2b24e,e9496dac362331e61cc7,c6668d6a478369e7e525,9e1bee76a256f38824d1,ce39353181fee616d52e,4afebf9c7a325e206129,d256647754fbe6699898,e74c6caf408bb891a93b,0c8f8ad78d0730bb1a5d,395abc7fff535633f350,0daa2a5a7e7edcf69be8,ebed28c02c48adee0994,ba9e3e4d83dbc365ba26,2729e30e765c7c719f41,3f935fdf8a7aa6cec164,7df5f65ce191609b0965,906928956b572b71d8b8,f0a51af0ec7793c47d02,43ec17146428b569be03,c72115a7068cc64a21c8,feb706c8fbed08f43c04
12-May-2022 12:57:48,409,1421,1164,1022,7624,2717,3306,8226,3147,3421,6674,5779,19559,1914,2145,2132,3793,3653,3297,1921,2199,3606,2217,2424,1979,2769,2791,5853,2938,4719,2964,1222,6760,14363,3162,2033,5093,7467,3353,4519,5260,8225,4655,4842,12894,2204,7601,5782,3645,8235,30555,2950,2601,37154,3165,4460,2369,1225,2334,2071,9411,3081,11964,1541,8646,11991,3673,2670,1618,5785,6295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19-May-2022 06:54:07,423,1465,1212,1032,7652,2742,3310,8255,3181,3442,6784,5802,19621,1935,2153,2139,3808,3694,3331,1941,2220,3632,2225,2448,1988,2792,2814,5881,2944,4757,2995,1241,6806,14468,3177,2056,5104,7491,3368,4542,5283,8253,4676,4867,12938,2221,7651,5808,3669,8304,30828,2965,2606,37254,3177,4467,2377,1235,2338,2090,9485,3098,12001,1543,8677,12054,3681,2680,1619,5824,6319,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jun-2022 02:06:31,455,1551,1293,1070,7702,2788,3332,8317,3236,3480,7020,5856,19769,1967,2177,2159,3858,3776,3406,1974,2274,3662,2279,2471,2009,2824,2847,5954,2966,4846,3033,1258,6866,14657,3216,2082,5144,7562,3408,4591,5307,8302,4715,4913,13038,2249,7767,5870,3707,8411,31279,3002,2617,37480,3206,4490,2399,1251,2358,2120,9649,3116,12093,1556,8729,12160,3721,2692,1628,5908,6362,222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jul-2022 02:10:25,499,1781,1457,1140,7826,2908,3404,8537,3398,3590,7670,5970,20103,2126,2224,2219,3974,3956,3563,2088,2365,3774,2342,2538,2079,2906,2983,6088,3049,5053,3160,1312,7037,15104,3299,2147,5255,7720,3471,4706,5381,8398,4812,5070,13285,2313,8075,6006,3796,8688,32499,3099,2643,38056,3272,4552,2464,1286,2394,2221,10097,3161,12350,1588,8910,12420,3801,2744,1650,6103,6469,419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Aug-2022 02:10:52,556,2001,1635,1218,8006,3039,3488,8720,3600,3725,8312,6138,20429,2203,2293,2276,4058,4192,3795,2163,2470,3871,2441,2618,2140,2992,3091,6256,3115,5251,3281,1352,7247,15596,3399,2209,5367,7862,3551,4832,5484,8507,4898,5198,13524,2403,8358,6163,3892,8956,33593,3183,2671,38600,3336,4664,2539,1305,2440,2318,10557,3233,12673,1619,9088,12637,3878,2777,1671,6292,6619,549,322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Sep-2022 02:10:31,588,2187,1785,1287,8133,3134,3536,8894,3752,3844,8939,6280,20714,2313,2359,2349,4188,4393,3989,2241,2561,3943,2525,2731,2199,3073,3205,6405,3179,5478,3349,1398,7415,15949,3509,2274,5455,8017,3625,4928,5552,8596,4972,5316,13734,2483,8539,6304,3988,9236,34666,3251,2691,38975,3408,4705,2632,1330,2480,2424,10931,3273,12910,1640,9249,12872,3992,2826,1736,6470,6759,628,402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Oct-2022 02:38:01,634,2348,1931,1347,8238,3272,3598,9046,3922,3925,9623,6400,21017,2399,2462,2422,4321,4628,4179,2337,2669,3994,2596,2791,2259,3178,3278,6606,3283,5708,3461,1515,7573,16285,3622,2301,5533,8137,3696,5062,5622,8682,5059,5398,13951,2542,8690,6433,4077,9459,35697,3340,2707,39386,3463,4753,2703,1350,2532,2534,11462,3365,13207,1697,9393,13139,4064,2891,1768,6667,6907,729,455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Nov-2022 02:24:42,670,2520,2121,1422,8413,3415,3682,9192,4102,4030,10358,6542,21455,2488,2552,2521,4460,4896,4379,2432,2799,4070,2676,2871,2305,3273,3350,6798,3367,6025,3603,1600,7768,16757,3748,2351,5628,8274,3765,5205,5714,8777,5210,5571,14209,2612,8886,6579,4170,9796,36905,3477,2735,39814,3557,4821,2802,1402,2621,2640,12047,3432,13559,1754,9514,13451,4155,2929,1807,6910,7076,849,520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec-2022 01:50:24,705,2712,2327,1510,8628,3667,3735,9356,4302,4145,11130,6667,21835,2572,2641,2617,4608,5203,4594,2546,2911,4164,2790,2943,2368,3348,3433,7011,3459,6339,3783,1681,8001,17286,3848,2428,5749,8422,3834,5345,5789,8881,5326,5703,14531,2683,9134,6730,4248,10086,38066,3653,2781,40388,3655,4887,2916,1438,2715,2721,12553,3532,13969,1819,9699,13763,4270,2981,1876,7196,7262,959,579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2023 01:41:59,755,2900,2537,1606,8846,3804,3819,9503,4527,4275,11825,6789,22469,2659,2726,2705,4755,5513,4769,2674,3055,4255,2895,3029,2405,3443,3516,7251,3569,6631,3928,1745,8197,17794,3943,2510,5839,8590,3916,5482,5871,8965,5424,5839,14798,2797,9343,6951,4381,10372,39191,3789,2817,40821,3731,4974,3042,1474,2782,2813,13051,3596,14350,1894,9860,14061,4375,3056,1975,7411,7424,1099,640,1085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
